"Vino","Denominazione","Colore","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Fiano di Avellino","Fiano di Avellino","Bianco","Azienda Vinicola Aminea","Vino di spiccata personalità. Ha tono leggero, fresco, che esalta al naso gli aromi varietali. Al gusto risulta armonico, con la giusta acidità ed un sentore di nocciola tostata. Di colore giallo paglierino.","100% Fiano","12,5%","D.O.C.G.","Contrada Santa Lucia","Castelvetere sul Calore","Avellino","40.93980073928833,14.975330829620361","","0827/65787","http://www.vinit.net/vini/cantine/Campania/Avellino/Castelvetere_Sul_Calore/Aminea_1486.html; http://www.vini-doc.org/aziende/aminea.html; https://www.vinix.com/degustazioni_detail.php?ID=1446",
"Iovi Tonant","Aglianico del Taburno","Rosso","Azienda Vitivinicola Masseria Frattasi","Rosso con riflessi viola. Profumi inebrianti di more selvatiche, mirtilli, confetture di prugne rosse. Denso, polposo, lungamente persistente. Freschezza mentolata e note balsamiche di liquirizia.","100% Aglianico","14%","D.O.C.G.","Via Torre di Varoni, 15","Montesarchio","Benevento","41.071918, 14.628821","http://www.masseriafrattasi.it","0823 797879","http://www.agricoltura.regione.campania.it/viticoltura/disciplinari/DOCG_Aglianico_Taburno.pdf;",
"Saul","Falerno del Massico","Rosso","Bianchini Rossetti","Colore impenetrabile dai riflessi bluastri, l'imprinting è decisamente fruttato, di quelli rossi e neri maturi,polposi e dolci. Nitidamente si sovrappongono ciliegia, amarena, mirtillo, poi note appena tostate, balsamiche, fini e gradevolissime. Sul finale una nota di liquirizia e tabacco. In bocca avvolge da subito il palato con una trama di frutto intensa e persistente, quasi masticabile, lunga e godibile sino alla deglutizione; Richiama subito un secondo sorso, di tannino solo una labile e gradevole percezione, sottile, solleticante, alla mercè di una freschezza tangibile  e piacevole sino ad una cortese sapidità.","80% Aglianico; 20% Piedirosso","14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Rosso","Falerno del Massico","Rosso","Bianchini Rossetti","Colore rosso rubino con riflessi purpurei,con sentori di sottobosco e frutta rossa matura. Al palato ben strutturato di corpo con una buona persistenza finale.","80% Aglianico; 20% Piedirosso","13,5-14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Rosé","Campania","Rosato","Bianchini Rossetti","Colore rosso rubino scarico con riflessi cipolla, al naso spiccano note floreali, il gusto è caratterizzato da una acidità sostenuta e da una buona persistenza.","100% Aglianico","13-14%","I.G.T.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Mille880 Bianco","Falerno del Massico","Bianco","Bianchini Rossetti","Colore giallo paglierino con riflessi verdognoli, al naso spiccano note di frutta fresca, il gusto è caratterizzato da un'acidità e da una tipica sapidità.","100% Falanghina","13-14%","D.O.C.","Via Ten. Trabucco","Casale di Carinola","Caserta","41.219226, 14.004146","http://www.bianchinirossetti.com","0823 709187","",
"Fiano Sannio","Sannio","Bianco","Ca' Stelle","Colore giallo paglierino, cristallino, profumi di salvia e pesca bianca; al palato è fine, pieno ed appagante. Sapido, fresco, con note floreali e mentolate.","100% Fiano","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Greco Sannio","Sannio","Bianco","Ca' Stelle","Colore giallo paglierino con riflessi dorati; note di mela e gelsomino, al palato è pieno con finale lungo e persistente, di piacevole acidità e di buona struttura.","100% Greco","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Kydonia","Falanghina del Sannio","Bianco","Ca' Stelle","Colore giallo paglierino con riflessi dorati, cristallino; profumi intensi e complessi di frutta a polpa gialla e arancione, sentori di miele e vaniglia; gusto morbido e caldo, di grande struttura, equilibrato e con buona persistenza gusto-olfattiva.","100% Falanghina","13,5%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Beneventano","Beneventano","Rosso","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi di frutti rossi; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","85% Aglianico; 15% Cloni locali a bacca rossa","13%","I.G.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Rosato Sannio","Sannio","Rosato","Ca' Stelle","Colore rosso cerasuolo; profumo fruttato, intenso e fine, con note minerali finali; gusto secco, morbido e persistente, di piacevole acidità e discreta struttura.","100% Aglianico","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Aglianico Sannio","Sannio","Rosso","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","100% Aglianico","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina Benevento","Beneventano","Bianco","Ca' Stelle","Colore giallo paglierino con riflessi verdolini, cristallino. Profumi intensi di fiori bianchi. Gusto equilibrato tra sensazioni morbide e leggermente acide. Di buon corpo e buona persistenza.","85% Falanghina; 15% Cloni locali a bacca bianca","13%","I.G.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Falanghina del Sannio","Falanghina del Sannio","Bianco","Ca' Stelle","Colore giallo paglierino con riflessi verdolini, cristallino. Profumi intensi di frutta a polpa bianca e sentori di fiori bianchi. Gusto equilibrato tra sensazioni morbide e leggermente acide. Di buon corpo e buona persistenza.","100% Falanghina","13%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Propileo","Sannio","Rosso","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi e complessi di frutti rossi, sentori speziati di pepe nero e chiodi di garofano, tostati di caffe e cacao; gusto secco, di buona alcolicita ed equilibrata tannicita, morbido e persistente, di grande struttura.","100% Aglianico","14%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Barbera Sannio","Sannio","Rosso","Ca' Stelle","Colore rosso rubino, limpido e consitente; profumi intensi di frutti rossi; gusto secco, buona alcolicita ed equilibrata tannicita, morbido e persistente, di buona struttura.","100% Barbera","14%","D.O.P.","Via Nazionale Sannitica, 48","Castelvenere","Benevento","41.234469, 14.546138","http://www.castelle.it/","0824 940232","",
"Adam","Irpinia","Bianco","Cantina Giardino","","Greco","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Drogone","Irpinia","Rosso","Cantina Giardino","","Aglianico","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Le Fole","Irpinia","Rosso","Cantina Giardino","","Aglianico","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"T'ara rà","Campania","Bianco","Cantina Giardino","","Greco","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Gaia","Campania","Bianco","Cantina Giardino","","Fiano","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Clown Oenologue","Campania","Rosso","Cantina Giardino","","Aglianico","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Sophia","Campania","Bianco","Cantina Giardino","","","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Volpe Rosa","Campania","Rosato","Cantina Giardino","","","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Nude","Irpinia","Rosso","Cantina Giardino","","Aglianico","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Paski","Campania","Bianco","Cantina Giardino","","","","I.G.T.","via Petrara n. 21/B","Ariano Irpino","Avellino","41.158094, 15.099102","http://www.cantinagiardino.com/","0825 873084","",
"Sannio Fiano","Sannio","Bianco","Cantina La Fortezza","Colore giallo paglierino - sentori di frutta a polpa bianca e nocciola tostata, al palato presenta buona acidità e buon corpo.","100% Fiano","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Aglianico del Taburno","Aglianico del Taburno","Rosso","Cantina La Fortezza","Vino dal color rosso rubino, aromi che ricordano i frutti di bosco, al palato morbido, piacevole con note di confettura di amarena","100% Aglianico","13,5%","D.O.C.G.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Sannio Greco","Sannio","Bianco","Cantina La Fortezza","Colore giallo ambrato; aroma complesso di frutta matura, canditi, miele; sapore morbido, ben strutturato.","100% Greco","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Aglianico Riserva","Aglianico del Taburno","Rosso","Cantina La Fortezza","Il vino presenta colorazione rosso granato, al naso presenta un aroma intenso di frutti rossi, spezie, tabacco; al palato si presenta caldo, ben strutturato con tannicità non invadente ed un retrogusto di pepe nero.","100% Aglianico","14%","D.O.C.G.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Falanghina Sannio Taburno","Falanghina del Sannio Taburno","Bianco","Cantina La Fortezza","Colore giallo paglierino con riflessi verdognoli; profumo fresco con note di agrumi e fiori bianchi; vino dalla spiccata acidità ma allo stesso tempo di buon equilibrio e profumo.","100% Falanghina","13%","D.O.C.","Località Tora, 20","Torrecuso","Benevento","41.180125, 14.688867","http://www.lafortezzasrl.it/","0824 886155","",
"Appia Antica Taurasi","Taurasi","Rosso","Cantina Riccio","Di colore rubino intenso con riflessi granati, al naso offre un bouquet ampio e complesso, intenso, con sentori speziati di pepe e noce moscata ed eleganti sfumature balsamiche che si fondono a sensazioni di prugna matura e di liquirizia e caffè. Al gusto è caldo, grasso, opulento, ma anche estremamente fresco e sapido, con la fitta trama tannica. La degustazione lascia in bocca un lungo ricordo di frutta matura e torrefazione.","100% Aglianico","13%","D.O.C.G.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","http://vinocult.it/",
"I Vini di Janus - Fiano di Avellino","Fiano di Avellino","Bianco","Cantina Riccio","Il vino presenta un colore giallo paglierino, il profumo intenso e persistente con note floreali e fruttate di frutti gialli, pera e nocciola che si evolvono col tempo in sentori di frutti esotici e richiami mielati, il gusto, di spiccata tipicità, persistente ed equilibrato dà vita ad un vino elegante, fine e longevo.","100% Fiano","13%","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","",
"I Vini di Janus - Aglianico","Irpinia","Rosso","Cantina Riccio","Di colore rubino intenso dai riflessi violacei, ha profumi intensi, fruttati con note varietali di amarena, mora selvatica e prugna, sentori speziati e tostati. Elegante e morbido, ha lunghezza sorprendente con piacevoli note di frutti rossi maturi, notevole struttura adatta per una lunga conservazione.","100% Aglianico","13,5%","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","http://vinocult.it/vini/irpinia-aglianico-93599687/",
"I Vini di Janus - Greco di Tufo","Greco di Tufo","Bianco","Cantina Riccio","Il colore giallo paglierino con riflessi dorati, il profumo intenso e persistente con sentori di pesca bianca, albicocca e mandorla dolce, misti a note minerali ed agrumate, il sapore vigoroso, fresco e ricco descrivono un vino di carattere e di spiccata tipicità","100% Greco","13%","D.O.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","http://vinocult.it/",
"I Vini di Janus - Falanghina","Campania","Bianco","Cantina Riccio","Colore giallo paglierino, caratteristico profumo fruttato e di notevole intensità. Sensazioni di acidità e sapidità incrementano progressivamente conferendo un gusto bilanciato e piacevole.","100% Falanghina","13%","I.G.P.","Contrada Campore","Chiusano di San Domenico","Avellino","40.951519, 14.914735","https://www.cantinariccio.it","0825 985631","http://vinocult.it/",
"Campierti","Falerno del Massico","Rosso","Cantina Zannini","Colore rosso rubino media intensità tipico primitivo, al naso si percepiscono profumi di frutta rossa matura, al palato il vino si presenta di medio volume con tannini morbidi e levigati.","100% Primitivo","14,5%","D.O.P.","Via Vellaria, 20","Falciano del Massico","Caserta","41.166374, 13.950565","http://www.cantinazannini.it/","0823 931108","",
"Campierti Riserva","Falerno del Massico","Rosso","Cantina Zannini","Colore rosso rubino tipico da primitivo, al naso complesso, con buon equilibrio tra spezie e frutta rossa matura, rotondo al palato, di buona struttura con tannini morbidi vellutati.","100% Primitivo","14,5%","D.O.P.","Via Vellaria, 20","Falciano del Massico","Caserta","41.166374, 13.950565","http://www.cantinazannini.it/","0823 931108","",
"Falanghina","Beneventano","Bianco","Cantina dei Monaci","Vino dal colore giallo paglierino con riflessi verdognoli. Fresco e fruttato con spiccate note di ananas, mango, papaia e pesca gialla.","100% Falanghina","13%","I.G.T.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Santa Lucia","Campania","Rosso","Cantina dei Monaci","Vino dal colore rosso rubino intenso. Sentori di visciole, prugne, pepe nero e radici.","","13,5%","I.G.T.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Monaco Rosso","Taurasi","Rosso","Cantina dei Monaci","Vino dal colore rosso rubino consistente con sfumature granato. Bouquet elegante, complesso e persistente composto da marasca e prugne, insieme a sentori di tabacco liquirizia rosmarino e spezie.","100% Aglianico","13,5%","D.O.C.G.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Fiano","Fiano di Avellino","Bianco","Cantina dei Monaci","Vino dal colore giallo paglierino luminoso. Olfatto intenso e sensuale di fiori bianchi, mela, nocciola ed agrumi.","100% Fiano","13,5%","D.O.C.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Greco","Greco di Tufo","Bianco","Cantina dei Monaci","Vino dal colore giallo paglierino intenso. Presenze olfattive di pesca gialla mela golden mentuccia insieme a sentori floreali e minerali.","100% Greco di Tufo","13%","D.O.C.G.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Decimo Sesto","Greco di Tufo","Bianco","Cantina dei Monaci","Vino dal colore giallo paglierino con riflessi dorati. Emergono sentori di pesca, mandorle,frutti secchi e camomilla essiccata.","100% Greco di Tufo","13,5%","D.O.C.G.","via Santa Lucia 206","Santa Paolina","Avellino","41.010126, 14.844739","http://www.cantinadeimonaci.it/","0825 964350","",
"Fidelis","Aglianico del Taburno","Rosso","Cantina del Taburno","Il colore è rosso con i riflessi rubino. L'odore, intenso, è caratterizzato da note di frutti rossi, tabacco e pepe nero. Al gusto si presenta morbido con tannini ben fusi ed un finale persistente caratterizzato da aromi speziati.","90% Aglianico; 10% Sangiovese e Merlot","13%","D.O.C.G.","Via Sala","Foglianise","Benevento","41.1537929,14.670587","http://www.cantinadeltaburno.it/","0824 878898","http://www.agricoltura.regione.campania.it/viticoltura/disciplinari/DOCG_Aglianico_Taburno.pdf;",
"Lacryma Christi del Vesuvio Bianco","Vesuvio","Bianco","Cantina del Vesuvio","Asciutto al palato. Emana sentori di frutta bianca con profumi floreali.","100% Coda di Volpe","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Rosato","Vesuvio","Rosato","Cantina del Vesuvio","Corposo, morbido e persistente. Tipico profumo di violetta e ginestra vesuviana, si avverte anche la pesca bianca.","100% Piedirosso","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Rosso Riserva","Vesuvio","Rosso","Cantina del Vesuvio","Corposo, morbido e persistente.Dal tipico profumo di violetta e ginestra vesuviana.","80% Piedirosso; 20% Aglianico","13,5-14,5%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Lacryma Christi del Vesuvio Rosso","Vesuvio","Rosso","Cantina del Vesuvio","Corposo, morbido, vinoso e persistente. Tipico profumo di violetta e ginestra vesuviana.","100% Piedirosso","12,5-13%","D.O.P.","Via Tirone della Guardia, 18","Trecase","Napoli","40.788787, 14.439212","http://www.cantinadelvesuvio.it/","081 5369041","",
"Solopaca Classico Rosso Sannio - Selezione Oro","Sannio Solopaca","Rosso","Cantina di Solopaca","Questo vino ha un colore rosso rubino e nobili profumi di frutta rossa matura e frutti di bosco. L’affinamento in botte gli conferisce una grande morbidezza al palato con tannini equilibrati.","Aglianico; Sangiovese","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio - Prime Vigne","Sannio","Bianco","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano Frizzante","Beneventano","Bianco","Cantina di Solopaca","Ha colore paglierino, spuma vivace a media persistenza e al naso evidenzia sentori di frutta esotica, ginestra e lieve crosta di pane. Il sapore è lievemente abboccato,  fresco, sapido.","85% Falanghina; Vitigni autoctoni del Beneventano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Rosso Beneventano - Prime Vigne","Beneventano","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso, profumi che ricordano la frutta rossa matura. Il sapore è asciutto, di buon corpo, vellutato e armonico.","Uve Rosse delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Cerro del Duca Aglianico","Sannio Solopaca","Rosso","Cantina di Solopaca","Questo vino ha colore rosso rubino intenso. All’olfatto è intensamente fruttato con ricordi di gelso nero, liquirizia, muschio. Il sapore è aromatico tipico, netto, asciutto, armonico, morbido.","100% Aglianico","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Cortenuda Falanghina","Falanghina del Sannio","Bianco","Cantina di Solopaca","Ha colore paglierino e profumi  floreali caratteristi. Il sapore è asciutto, armonico e fresco.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Beneventano","Beneventano","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso e profumo delicato con sentori  di frutta rossa. Il sapore è asciutto, armonico, vellutato.","100% Aglianico","12,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Fiano Sannio - Selezione Oro","Sannio","Bianco","Cantina di Solopaca","Questo vino ha colore giallo paglierino, dal profumo floreale e fruttato con note vegetali; al gusto è secco ed equilibrato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Beneventano Frizzante","Beneventano","Rosso","Cantina di Solopaca","Aglianico frizzante, di colore rubino più o meno intenso con spuma abbondante e persistente. Al naso evidenzia note di frutta rossa con accenno alla violetta. Il sapore è leggermente abboccato, sapido, fresco.","85% Aglianico; Vitigni autoctoni del Beneventano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio Solopaca - Prime Vigne","Falanghina del Sannio Solopaca","Bianco","Cantina di Solopaca","Ha colore paglierino e profumi  floreali caratteristi. Il sapore è asciutto, armonico e fresco.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Campaminico Greco","Sannio","Bianco","Cantina di Solopaca","Questo vino ha colore giallo paglierino più o meno intenso, profumo fruttato e floreale, sapore secco, equilibrato.","100% Greco","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Barbera Sannio - Selezione Oro","Sannio","Rosso","Cantina di Solopaca","Questo vino ha colore rosso rubino intenso. All’olfatto è intensamente fruttato con ricordi di gelso nero, liquirizia, muschio. Il sapore è aromatico tipico, netto, asciutto, armonico, morbido.","100% Barbera","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Barbera Sannio","Sannio","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso, tendente al rosso mattone con l’invecchiamento. All’olfatto è intensamente fruttato con ricordi di gelso nero, liquirizia, muschio, sentori speziati e aromatici. Il sapore è aromatico tipico, netto, asciutto, armonico, morbido.","100% Barbera","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Greco Sannio - Prime Vigne","Sannio","Bianco","Cantina di Solopaca","Vino dal colore giallo paglierino più o meno intenso, profumo fruttato e floreale, sapore secco, equilibrato.","100% Greco","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","v","",
"Rosato Campania","Campania","Rosato","Cantina di Solopaca","Vino frizzante dal colore rosa piacevole con fruttato delicato, amabile, vivace e brioso nel gusto.","Aglianico; Barbera; Sangiovese","12,5","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio - Selezione Oro","Falanghina del Sannio","Bianco","Cantina di Solopaca","Ha colore giallo paglierino; all’olfatto si presenta ricca di sentori di frutta esotica e profumi floreali caratteristici. Il sapore è fresco asciutto, armonico con una buona persistenza.","100% Falanghina","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/i","0824 977921","",
"Aglianico Sannio Solopaca - Prime Vigne","Sannio Solopaca","Rosso","Cantina di Solopaca","Vino dal colore rubino più o meno intenso. Ha profumo vinoso e gradevole con sentori frutta rossa , ricordi di fragola e lampone. Il sapore è tipico, asciutto, armonico, vellutato.","100% Aglianico","13,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina Beneventano - Prime Vigne","Beneventano","Bianco","Cantina di Solopaca","Vino dal colore paglierino più o meno intenso con profumi fruttati e floreali . Il sapore è asciutto, armonico, fresco.","100% Falanghina","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Amabile Campania","Campania","Bianco","Cantina di Solopaca","Vino piacevolmente frizzante, brioso, naturale, asciutto e leggermente amabile. Dal colore bianco paglierino, di profumo intenso, armonico, vellutat.,","100% Trebbiano","11,5%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Pezzalonga Fiano","Sannio","Bianco","Cantina di Solopaca","Vino particolarmente tipico dal colore paglierino, odore gradevolmente fruttato e  sapore  secco, armonico, delicato.","100% Fiano","12,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Bianco Beneventano","Beneventano","Bianco","Cantina di Solopaca","Ha colore paglierino, sentori fruttati e a volte lievi note floreali. Sapore secco, armonico, giustamente acidulo.","Uve Bianche delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Carrese - Selezione Oro","Sannio","Rosso","Cantina di Solopaca","Il colore è rosso rubino intenso, all’olfatto è complesso con piacevoli sentori di frutta rossa matura e confettura con note di spezie. Al gusto è avvolgente, complesso con una buona persistenza, piacevolmente tannico.","100% Aglianico","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Aglianico Sannio","Sannio","Rosso","Cantina di Solopaca","Vino dal colore rubino più o meno intenso. Ha profumo vinoso e gradevole con sentori frutta rossa , ricordi di fragola e lampone. Il sapore è tipico, asciutto, armonico, vellutato.","100% Aglianico","13,5%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Falanghina del Sannio Spumante","Falanghina del Sannio Spumante","Bianco","Cantina di Solopaca","Dal colore paglierino tenue, con ottima spuma, briosa e persistente, perlage continuo a grana molto fine, profumo delicato di giusta intensità. Sapore secco armonico, sapido, senza asperità.","100% Falanghina","12%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Solopaca Bianco Sannio","Sannio Solopaca","Bianco","Cantina di Solopaca","Ha colore paglierino e profumi lievemente esotici  fruttati e floreali. Il sapore è secco, equilibrato,vellutato.","40-60% Trebbiano; 20% Falanghina; 20% Malvasia","13%","D.O.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Rosso Beneventano","Beneventano","Rosso","Cantina di Solopaca","Ha colore rubino più o meno intenso, profumi che ricordano la frutta rossa matura. Il sapore è asciutto, di buon corpo, vellutato e armonico.","Uve Rosse delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
"Bianco Beneventano - Prime Vigne","Beneventano","Bianco","Cantina di Solopaca","Ha colore paglierino, sentori fruttati e a volte lievi note floreali. Sapore secco, armonico, giustamente acidulo.","Uve Bianche delle colline del Beneventano","12%","I.G.P.","Via Bebania, 44","Solopaca","Benevento","41.196826, 14.539985","http://www.cantinasolopaca.it/","0824 977921","",
