"Vino","Denominazione","Colore","Tipologia","Produttore","Descrizione Organolettica","Vitigno","Gradazione Alcolica","Certificazione","Indirizzo","Comune","Provincia","Geolocalizzazione","URL","Telefono","Fonti esterne"
"Ieranto Bianco","Penisola Sorrentina","Bianco","","Cantine Stinca","E’ un bianco ben strutturato e facile da bere.","50% Falanghina; 20% Greco; 30% Vitigni autoctoni","","D.O.C.","Via Mortora, 55","Piano di Sorrento","Napoli","40.626859, 14.415886","http://www.cantinestinca.it/","081 5321086","",
"Ieranto Rosso","Penisola Sorrentina","Rosso","","Cantine Stinca","","Aglianico; Piedirosso","","D.O.C.","Via Mortora, 55","Piano di Sorrento","Napoli","40.626859, 14.415886","http://www.cantinestinca.it/","081 5321086","",
"Colubrà","Greco di Tufo","Bianco","Greco di Tufo","Cantine Tabernae","Colore giallo paglierino più o meno carico, percorso da riflessi dorati. Profumi di fiori bianchi e frutta matura con sentori di albicocca e mandorla. Il consistente nerbo acido e la buona morbidezza complessiva ne fanno un vino di eccellente equilibrio e buona persistenza gustativa","100% Greco","12,5%","D.O.C.G.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Ades","Campania","Rosso","Aglianico","Cantine Tabernae","Rosso porpora con riflessi violacei, offre sensazioni olfattive intense di frutta nera selvatica. Al gusto si presenta secco e quasi asciutto, con notevole corpo, grande piacevolezza e forte personalità. I tannini, piacevolmente fusi con note di melograno, non si rassegnano ad abbandonare il palato.","100% Aglianico","13%","I.G.T.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Salacone","Campania","Rosso","Aglianico","Cantine Tabernae","Rosso rubino vellutato e intenso, con riflessi granati dopo l'invecchiamento. Personalità decisa che racchiude in piccoli esaltanti peculiarità tutta l'anima e la forza della terra di origine. Aroma complesso non riconducibile a sensazioni già note, gusto antico, intenso e raffinato al palato.","100% Aglianico","13,5%","I.G.T.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Trébula","Fiano di Avellino","Bianco","Fiano di Avellino","Cantine Tabernae","Buona consistenza, dal colore giallo con riflessi dorati, di giusta concentrazione cromatica. Sentori di nocciola tostata, miele e pera. Al palato si presenta secco ed intenso, con notevole sapidità e corpo. Decisamente strutturato. Inconfondibile il finale all'insegna dell'ananas.","100% Fiano","12,5%","D.O.C.G.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Taurasi","Taurasi","Rosso","Taurasi","Cantine Tabernae","Risulta profumato e sapido, gradevole al gusto, piacevolissimo e stabile, di elevato potere nutritivo.","100% Aglianico","14%","D.O.C.G.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Mephytis","Campania","","Coda di Volpe","Cantine Tabernae","Di colore giallo con riflessi citrini. Su tutto si impone la mineralità idrocarburica con note di mela cotogna e pompelmo. Dal sapore fragrante vivace, esprime col messaggio dei sensi tutta la propria autenticità e personalità. Finale pulito e gradevolmente acido.","100% Coda di Volpe","12,5%","I.G.T.","Località Piano della Croce","Frigento","Avellino","41.004168, 15.106919","http://www.collifrigentini.it/","0825 444482","",
"Beneventano Falanghina","Beneventano","Bianco","Falanghina","Cantine Tora","Colore Giallo Paglierino più o meno carico. Fruttato con sentori tipici del vitigno. Morbido, persistente, buona acidità ed equilibrato.","100% Falanghina","12-13%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Kissòs","Sannio Taburno","Bianco","Falanghina","Cantine Tora","Di colore giallo solare, al naso è estremamente fruttato, complesso di frutta esotica matura, mango,papaya, ananas, passiflora e acacia. Al palatoè pieno, caldo, morbido, con un ottima persistenza che rispecchia lesensazioni olfattive.","100% Falanghina","14%","D.O.C.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Iuvenis","Beneventano","Rosso","Novello","Cantine Tora","Colore rosso violaceo. Fruttato con sentori che ricordano amarena, fragola e lampone.Morbido con una buona concentrazione e lunga persistenzaolfattiva.","80% Aglianico; 10 Montepulciano; 10 Merlot","11-12,5%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Greco di Tufo","Greco di Tufo","Bianco","Greco di Tufo","Cantine Tora","Analisi Visiva: Giallo Paglierino CaricoAnalisi Olfattiva: Intenso, Fruttato con Sentori di AlbicoccaAnalisi Gustativa: Secco, Caldo, Morbido, di Buon Corpo conAdeguata Freschezza e Persistenza Aromatica","100% Greco","13,5-14%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Aglianico del Taburno","Aglianico del Taburno","Rosato","Aglianico","Cantine Tora","Di colore rosa intenso con riflessi violacei. Al naso è fruttato con sentori che ricordano amarena, fragola e lampone. Al palato è morbido con una buona concentrazione e lunga persistenza olfattiva.","100% Aglianico","12,15-13,5%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Campania Greco","Campania","Bianco","Greco","Cantine Tora","Colore Giallo più o meno carico. Fruttato con sentori tipici del vitigno. Morbido, persistente, piacevole ed quilibrato","100% Greco","12-13%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Fiano di Avellino","Fiano di Avellino","Bianco","Fiano di Avellino","Cantine Tora","Di colore giallo Paglierino, al naso è intenso, Fruttato con sentori di Albicocca. Al palato è secco, caldo, morbido, di Buon Corpo conAdeguata Freschezza e Persistenza Aromatica.","100% Fiano","13,5-14%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Campania Aglianico","Campania","Rosso","Aglianico","Cantine Tora","Rosso con riflessi Granata. Fruttato con sentori che ricordano frutta rossa matura. Secco, caldo, morbido, piacevole ed eleganti.","100% Aglianico","12-13%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Vino Spumante di Qualità Brut","Vino Spumante di Qualità","Bianco","Brut","Cantine Tora","Colore giallo paglierino.Il Vino si presenta pulito, sfumatamente floreale ed armonico.Gusto persistente e caratteristico nel sentore di fruttato, di buon corpo.Aroma d’agrumi e note vegetali si accompagnano ad una inconsueta e piacevole notadi crosta di pane. Schiuma abbondante, perlage di grana fine ed intensa luminosità.","100% Falanghina","11-12%","V.S.Q.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Campania Fiano","Campania","Bianco","Fiano","Cantine Tora","Colore Giallo Paglierino. Fruttato con sentori tipici del vitigno. Morbido, persistente, fresco ed equilibrato","100% Fiano","12-13%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Lysios","Aglianico del Taburno","Rosso","Aglianico Riserva","Cantine Tora","Colore Molto Carico Di Bella Tonalità Con Riflessi Violacei. Vino con un Ventaglio Olfattivo Molto Ampio, Dai Profumi Fruttati diConfetture come Ribes, Fragola, More, Lamponi a Quelli Speziati Come La Vaniglia, Il Caffè. Al palato con Un Forte Corpo, Molto Pieno, Strutturato, Elegante, Con Tannini In Evidenza Ma Ben Levigati, Avvolgente Con una lunga Persistenza.","100% Aglianico","14-15%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Aglianico del Taburno","Aglianico del Taburno","Rosso","Aglianico","Cantine Tora","Di colore Rosso Rubino con Riflessi Granata. Al naso profumi intensi persistenti e fini, fruttati e floreali, si ravvisanosentori di frutti di bosco, viola, rosa, vaniglia, pepe nero e tabacco. Al palato il gusto è secco, caldo, intenso, sapido, morbido e giustamentetannico, vino di corpo pieno e armonico.","100% Aglianico","13-14%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Taburno Falanghina del Sannio","Falanghina del Sannio Taburno","Bianco","Falanghina","Cantine Tora","Di colore giallo intenso. Al naso molto fruttato con sentori di ananas, pera, magnolia e miele. Al palato secco, Morbido, caldo con una buona persistenza che amplifica le note odorose percepite olfattivamente.","100% Falanghina","13-14%","D.O.C.G.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Passito Falanghina","Beneventano","Bianco","Falanghina Passito","Cantine Tora","Giallo oro antico, con buona consistenza e luminosità.Si presenta aromatico, complesso con forti profumi di frutta seccae disidratata.Dolce, morbido, persistente, adeguata sapidità e freschezza checontrasta il dolce degli zuccheri che ne amplifica la percezione olfattiva.","100% Falanghina","14-16%","I.G.T.","Località Tora II","Torrecuso","Benevento","41.190955, 14.679135","http://www.cantinetora.it/","0824 872406","",
"Forgiato","Vesuvio","Rosso","Lacryrma Christi","Cantine Villa Dora","Colore rosso intenso con note bluastre, al naso compatto con notespeziate di cacao e liquirizia, in bocca avvolgente, potente,equilibrato.","Aglianico; Piedirosso","14%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Gelsorosa","Vesuvio","Rosato","Lacryma Christi","Cantine Villa Dora","Rosato brillante, al naso frutti rossi, iodio e glicine, in bocca acido,fresco e armonico.","Aglianico; Piedirosso","13%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Vigna del Vulcano","Vesuvio","Bianco","Lacryma Christi","Cantine Villa Dora","Giallo brillante, profumi di camomilla e timo, in bocca armonico evibrante.","Coda di Volpe; Falanghina","13%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Gelsonero","Vesuvio","Rosso","Lacryma Christi","Cantine Villa Dora","Rosso luminoso, al naso note speziate e di frutta rossa, in boccaavvolgente ed armonico.","Aglianico; Piedirosso","13%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Vesuvio Bianco","Vesuvio","Bianco","","Cantine Villa Dora","Giallo con riflessi dorati, al naso si presenta fresco connote di frutta gialla matura, in bocca acido persistente etipico.","Coda di Volpe; Falanghina","12%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Vesuvio Rosso","Vesuvio","Rosso","","Cantine Villa Dora","Rosso rubino con riflessi viola, al naso sentori di fruttarossa matura, marasca e ribes, in bocca ampio e vellutato.","Aglianico; Piedirosso","12,5%","D.O.C.","Via Bosco Mauro, 1","Terzigno","Napoli","40.811336, 14.506394","http://www.cantinevilladora.it/","081 5295016","",
"Nembo","Sannio","Bianco","Fiano","Capolino Perlingieri","Giallo paglierino con riflessi verdi. Profumo fine, fruttato con sentori di frutti bianchi, vedi, cedro, bergamotto e mela. Buona struttura integrata da un volume che si equilibra in una fresca acidità. retrogusto fruttato lungo e persistente.","100% Fiano","12,5%","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"Preta","Falanghina del Sannio","Bianco","Falanghina","Capolino Perlingieri","Giallo paglierino con riflessi verdi. Profumo fine, fruttato con sentori di frutti bianchi, verdi, cedro, bergamotto e mela. Gusto dalla bu","100% Falanghina","","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"Sciascì","Sannio","Rosso","","Capolino Perlingieri","Rosso rubino violaceo cupo ed intenso con tonalità rosso vive. Profumo dolce, ampio, fine, molto intenso, note floreali e fruttate, con lievi note esotiche e speziate. Gusto morbido, voluminoso, con tannino dolce a media densità in grande equilibrio all'acidità. Retrogusto fruttato e speziato dolce e persistente.","Aglianico; Sciascinoso","","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"Talento","Sannio","Rosso","Aglianico","Capolino Perlingieri","Colore rosso rubino, violaceo scuro, intenso con lievi tonalità granate.Profumo ampio, elegante, persistente e complesso. Sentori di piccoli frutti di sottobosco, note speziate di pepe nero, integrate da note di humus minerale e cioccolato neroGusto strutturato, grasso, potente ed elegante, con tannino granoso che si sviluppa in una lunga progressione gustativa.","100% Aglianico","14,5%","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"Vignarosa","Sannio","Rosato","","Capolino Perlingieri","Colore rosa salmone con note di rosa lampone. Fruttato, note di frutta matura, di","50% Aglianico; 50% Sangiovese","","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"Vento","Sannio","Bianco","Greco","Capolino Perlingieri","Giallo paglierino con riflessi verdi. Fruttato, note di frutta dolce, fiori, agrumi e macchia mediterranea. Gusto voluminoso, morbido con una buona vena acida, retrogusto fruttato persistente.","100% Greco","13,5%","D.O.C.","Via Marraioli, 58","Castelvenere","Benevento","41.217727, 14.573793","http://www.capolinoperlingieri.com/","0824 971541","",
"De Magia","Vino Spumante","Bianco","Brut","Caputalbus","Il colore è giallo paglierino intenso, l’odore fruttato ricorda l’ananas, la pera matura e la mela verde. Si presenta morbido al gusto e con un’elevata persistenza aromatica.","100% Falanghina","","V.S.","Via Piana","Ponte","Benevento","41.216742, 14.665550","http://www.caputalbus.it/","0824 876446","",
"Dies Irae","Sannio Taburno","Bianco","Falanghina","Caputalbus","Di colore giallo paglierino tenue, con tipico odore di mela verde e banana, retrogusto elegante ed armonico.","100% Falanghina","","D.O.C.","Via Piana","Ponte","Benevento","41.216742, 14.665550","http://www.caputalbus.it/","0824 876446","",
"Illunis","Sannio Taburno","Rosso","Aglianico","Caputalbus","Di colore rosso rubino con leggeri riflessi granato. All’olfatto è ricco di profumi di frutta secca con note speziate e tostate, risaltano note di vaniglia e tabacco. Questa complessità si trova anche in bocca in perfetto equilibrio con alcolicità, tannicità, grassezza. Grande la potenza e la longevità di questo vino.","100% Aglianico","","D.O.C.","Via Piana","Ponte","Benevento","41.216742, 14.665550","http://www.caputalbus.it/","0824 876446","",
"Quercus Domina","Beneventano","Rosso","Aglianico","Caputalbus","Di colore rosso rubino con leggere tonalità violacee con caratteristico profumo di confettura. Gusto armonico, elegante e di buona struttura.","100% Aglianico","","I.G.T.","Via Piana","Ponte","Benevento","41.216742, 14.665550","http://www.caputalbus.it/","0824 876446","",
"Enfasi","Cilento","Bianco","Fiano","Carmine Botti","Giallo paglierino, fruttato, floreale, intenso e armonico.","100% Fiano","","D.O.C.","Via Torretta, 61/63","Agropoli","Salerno","40.345408, 14.994008","http://www.cilentovini.it/","0974 822195","",
"Riflesso","Cilento","Rosato","","Carmine Botti","Rosso cerasuolo, fruttato, floreale, intenso e armonico","Aglianico; Primitivo; Sangiovese","","D.O.C.","Via Torretta, 61/63","Agropoli","Salerno","40.345408, 14.994008","http://www.cilentovini.it/","0974 822195","",
"Impervio","Cilento","Rosso","Aglianico","Carmine Botti","Rosso rubino carico, speziato, fruttato, corposo.","Aglianico; Primitivo","","D.O.C.","Via Torretta, 61/63","Agropoli","Salerno","40.345408, 14.994008","http://www.cilentovini.it/","0974 822195","",
"Barricato","Cilento","Rosso","Aglianico","Carmine Botti","Rosso granato, speziato, fruttato, con sentori di frutta matura, marmellata di amarene, viola appassita. Corposo, intenso e persistente.","Aglianico","","D.O.C.","Via Torretta, 61/63","Agropoli","Salerno","40.345408, 14.994008","http://www.cilentovini.it/","0974 822195","",
"Munazei Bianco","Vesuvio","Bianco","Lacryma Christi","Casa Setaro","Colore giallo paglierino con riflessi verdognoli. Profumi tipici della flora vesuviana con sentori di frutta fresca a polpa bianca. Gusto molto elegante e persistente, lungo e deciso.","100% Coda di Volpe","12,5%","D.O.C.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Terramatta","Campania","Rosso","Aglianico","Casa Setaro","Colore rosso rubino intenso. Profumi di frutta rossa, liquirizia, minerali. Palato complesso e fruttato, a lunga persistenza.","100% Aglianico","13%","I.G.T.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Campanelle","Campania","Bianco","Falanghina","Casa Setaro","Colore: giallo paglierino. Profumo tropicale e caldo. Gusto molto elegante e persistente, lungo e deciso.","100% Falanghina","13%","I.G.T.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Munazei Rosso","Vesuvio","Rosso","Lacryma Christi","Casa Setaro","Colore rosso rubino carico. Profumo tipicamente floreale con ricordi di geranio e piccoli frutti rossi e delicati toni erbacei. Gusto pieno, equilibrato, fresco e morbido","100% Piedirosso","13%","D.O.C.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Munazei Rosato","Vesuvio","Rosato","Lacryma Christi","Casa Setaro","Colore cerasuolo brillante. Naso tipicamente floreale con sentori di geranio e ricordi di piccoli frutti rossi. Gusto ottimo corpo, freso con un finale succoso e minerale.","100% Piedirosso","13%","D.O.C.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Don Vincenzo","Vesuvio","Rosso","Lacryma Christi Riserva","Casa Setaro","Colore: rosso rubino carico con riflessi granato. Profumo di ciliegia, tipici ricordi di geranio, leggeri toni di vaniglia e cacao. Ottimo corpo, pieno, equilibrato, elegante nei tannini, ottima freschezza.","85% Piedirosso; 15% Aglianico","14%","D.O.C.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Caprettone","Vino Spumante","Bianco","","Casa Setaro","Colore: giallo paglierino brillante, con riflessi verdolini, perlage fine e persistente. Al naso regala sentori floreali di ginestra del Vesuvio, di frutta a polpa bianca oltre a note fragranti di pane che ben si sposano con la mineralità. Gusto elegante, pieno, con la freschezza vivacizzata dall’effervescenza, un’ottima struttura e un lungo finale.","100% Coda di Volpe","13%","V.S.","Via Bosco del Monaco, 34","Trecase","Napoli","40.764953, 14.446829","http://www.casasetaro.it","081 8628956","",
"Falanghina","Ischia","Bianco","Falanghina","Casa d'Ambra","Colore paglierino con tenui riflessi verdolini. Profumo intenso con note di fiori di biancospino e tiglio. Sapore secco con giusto equilibrio tra morbidezza e freschezza; mineralità persistente.","100% Falanghina","12%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Euposia","Ischia","Bianco","Forastera","Casa d'Ambra","Colore giallo paglierino con riflessi dorati.Note fruttate (albicocca e pesca gialla). Sentori di macchia mediterranea. Sapore secco, ammandorlato, di carattere e peristenza.","100% Forastera","12,5%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Per'E' Palummo","Ischia","Rosso","Piedirosso","Casa d'Ambra","Colore rosso rubino intenso. Profumo vinoso e delicato. Sapore deciso e morbido.","100% Piedirosso","12%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Mario d'Ambra","Ischia","Rosso","","Casa d'Ambra","Colore rosso rubino intenso. Vinoso e persistente con note di vaniglia. Sapore secco, pieno, di struttura con note di liquirizia.","50% Guarnaccia; 50% Piedirosso","12,5%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Frassitelli","Ischia","Bianco","Biancolella","Casa d'Ambra","Colore Giallo paglierino. Profumo fruttato floreale, fine, con sentore di banana e di fiori di ginestre. Sapore intenso, delicato, persistente.","100% Biancolella","12%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Ischia Bianco","Ischia","Bianco","","Casa d'Ambra","Colore giallo paglierino. Profumo vinoso, intenso e delicato. Sapore secco, di giusto corpo","50% Biancolella; 50% Forastera","11,5%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Aglianico","Ischia","Rosso","Aglianico","Casa d'Ambra","Colore rosso rubino vivo. Profumo fresco, di vino rosso giovane, fruttato, intenso e persistente. Sapore secco, asciutto, di buon corpo, vellutato ed equilibrato.","100% Aglianico","12%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Biancolella","Ischia","Bianco","Biancolella","Casa d'Ambra","Colore giallo paglierino. Profumo fruttato, floreale. Sapore secco, pieno, mandorlato e delicato.","85% Biancolella; 15% Forastera, San Lunardo, Uva Rilla","12%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Gocce d'Ambra","Ischia","Bianco","Passito","Casa d'Ambra","Colore giallo oro lucente. Profumo Confettura di albicocca, di dattero, di erbe aromatiche e miele di castagno. Sapore dolce, per nulla stucchevole, avvolgente, la dolcezza è equilibrata da una vena acida.","100% Vitigni Autoctoni","14%","D.O.C.","Via Mario d'Ambra, 16","Forio d'Ischia","Napoli","40.713938, 13.876839","http://www.dambravini.com/",81907246,"",
"Aglianico di Baal","Colli di Salerno","Rosso","Aglianico","Casa di Baal","Di colore rosso rubino, limpido e brillante, offre al naso sentori fruttati di frutta rossa, rosa canina e liquirizia. In bocca è giustamente morbido e caldo, ben strutturato, persistente, dotato della giusta acidità e di tannini ottimamente integrati dal buon affinamento.","100% Aglianico","","I.G.T.","Via Tiziano, 14","Macchia di Montecorvino Rovella","Salerno","40.647271, 14.966125","http://www.casadibaal.it/it/","089 981143 - 44","",
"Rosso di Baal","Colli di Salerno","Rosso","","Casa di Baal","Di colore rosso rubino con sfumature granata, limpido e brillante, offre al naso sentori fruttati di frutta rossa, ciliegia e fragola venate di speziati dolci di cannella e vaniglia.All'aroma di bocca è fresco e fruttato, mediamente strutturato, dotato di media acidità e di una trama tannica gentile, che sostiene il sorso fino in fondo.","Aglianico; Barbera; Merlot","","I.G.T.","Via Tiziano, 14","Macchia di Montecorvino Rovella","Salerno","40.647271, 14.966125","http://www.casadibaal.it/it/","089 981143 - 44","",
"Fiano di Baal","Colli di Salerno","Bianco","Fiano","Casa di Baal","Di colore paglierino, intenso e brillante il Fiano di Baal esprime tutta la tipicità del Fiano dellla costa di Salerno.I suoi aromi ricordano la pesca bianca e la mela annurca, il miele di acacia ed i fiori di camomilla. In bocca strutturato, persistente, di una brillante freschezza e di una piacevole sapidità.","100% Fiano","","I.G.T.","Via Tiziano, 14","Macchia di Montecorvino Rovella","Salerno","40.647271, 14.966125","http://www.casadibaal.it/it/","089 981143 - 44","",
"Bianco di Baal","Colli di Salerno","Bianco","","Casa di Baal","Di colore dorato con riflessi di miele d'acacia, il Bianco di Baal offre al naso sentori di fiori bianchi e agrumi, muschiato di spezie mediterranee, alloro, salvia e origano su tutte.In bocca fresco, ben strutturato e persistente, dotato di buona acidità.","Fiano; Altri vitigni","","I.G.T.","Via Tiziano, 14","Macchia di Montecorvino Rovella","Salerno","40.647271, 14.966125","http://www.casadibaal.it/it/","089 981143 - 44","",
"Oro di Baal","Vino Spumante di Qualità","Bianco","","Casa di Baal","Vino fresco, salino e complesso,di buona persistenza. Secco ed asciutto lascia la bocca piacevolmente pulita.","100% Fiano","","V:S.Q.","Via Tiziano, 14","Macchia di Montecorvino Rovella","Salerno","40.647271, 14.966125","http://www.casadibaal.it/it/","089 981143 - 44","",
"Taurasi","Taurasi","Rosso","Taurasi","Cased'Angelo","","","","D.O.C.G.","Contrada Santa Maria, 2","S. Angelo All’Esca","Avellino","41.006356, 14.994339","www.casedangelo.it","331 9251258","",
"Gramigna","Colli di Salerno","Rosso","Aglianico","Casula Vinaria","","","","","Via Mattinelle, 109","Campagna","Salerno","40.617617, 15.098111","http://www.casulavinaria.com/",3485437133,"",
"Brigante","Colli di Salerno","Rosso","Aglianico","Casula Vinaria","","","","","Via Mattinelle, 109","Campagna","Salerno","40.617617, 15.098111","http://www.casulavinaria.com/",3485437133,"",
"Melodia","Colli di Salerno","Bianco","Fiano","Casula Vinaria","","","","","Via Mattinelle, 109","Campagna","Salerno","40.617617, 15.098111","http://www.casulavinaria.com/",3485437133,"",
"Coccinella","Colli di Salerno","Bianco","Fiano","Casula Vinaria","","","","","Via Mattinelle, 109","Campagna","Salerno","40.617617, 15.098111","http://www.casulavinaria.com/",3485437133,"",
"Donna Candida","Sannio","Rosso","Aglianico","Cautiero","Colore rosso rubino, profumo intenso in grado di evolvere nel tempo verso svariate sensazioni olfattive. Al palato ha una buona struttura e tannino morbido.","100% Aglianico","14,5%","D.O.C.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Trois","Sannio","Bianco","Greco","Cautiero","Vinificato in purezza si presenta di colore giallo paglierino  con profumi intensi e sapore tipico.","100% Greco","13,5","D.O.C.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Fois Rosso","Sannio","Rosso","Aglianico","Cautiero","Colore rosso rubino, profumo intenso in grado di evolvere nel tempo verso svariate sensazioni olfattive . Al palato ha una buona struttura e tannino morbido.","100% Aglianico","14,5%","D.O.C.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Fois","Falanghina del Sannio","Bianco","Falanghina","Cautiero","Colore giallo paglierino, profumo intenso,fruttato e floreale insieme, il sapore è asciutto , morbido e persistente.","100% Falanghina","14%","D.O.C.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Erba Bianca","Campania","Bianco","Fiano","Cautiero","Il vino è di colore giallo paglierino, odore intenso fruttato e floreale. Sapore asciutto fresco ma equilibrato.","100% Fiano","13,5%","I.G.T.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Piedirosso","Campania","Rosso","Piedirosso","Cautiero","Il colore è un rosso rubino con sfumature violacee. Al naso si avvertono note tostate e frutti rossi, in bocca e’ molto fresco.","100% Piedirosso","13,5%","I.G.T.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Vita Nuova","Campania","Rosato","","Cautiero","Ha un colore rosa intenso, profumo fruttato con sentori di fragola, amarena e lampone. Il sapore è asciutto, morbido e persistente.","Aglianico; Piedirosso","14%","I.G.T.","C.da Arbusti","Frasso Telesino","Benevento","41.156831, 14.517069","http://www.cautiero.it/index.html",3387640641,"",
"Andrea","Taurasi","Rosso","Taurasi","Colli di Lapio","Di colore rosso rubino, intenso all’olfatto con note di marasca e visciole. Al gusto è morbido con tannini ben fusi.","100% Aglianico","14%","D.O.C.G.","Contrada Arianiello, 47","Lapio","Avellino","40.971259, 14.927675","http://www.collidilapio.it/","0825 982184","",
